,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg,CextC,CscaC,CabsC,CextX,CscaX,CabsX,CextKu,CscaKu,CabsKu,CextKa,CscaKa,CabsKa,CextW,CscaW,CabsW
10,0.441261795876,,3.31799308108886e-11,1.530426861196268e-09,6.611167580214362e-08,0.00141630573398,2.16454855199e-12,4.80140077224e-13,,,,,,,1.5477841606073515e-05,2.7908338338164927e-10,1.547391461525653e-05,4.81386242309564e-05,1.2888383861352128e-08,4.812762865666884e-05,0.00012233361793078656,5.619916558190442e-07,0.00012179169319804232
1,0.682523591751,,2.1211405278507565e-09,9.719459351676102e-08,4.006787270388422e-06,0.0013695080875,1.32926633068e-10,3.84112061779e-12,,,,,,,0.00012388242310900634,1.785178609475864e-08,0.00012383529921920246,0.00038679288750997535,8.227202841220951e-07,0.000385976073420042,0.0010244105324825597,3.522667842470235e-05,0.000989287526615426
6,1.40630897938,,5.138860183109504e-07,2.2464350968575515e-05,0.0006518215707576273,0.0014014014014,3.14353524148e-08,6.0017509653e-11,,,,,,,0.0019447832972506766,4.349338679354219e-06,0.001940031638362122,0.006327363953870692,0.0001970171292882499,0.006130621713939632,0.024131358570386598,0.007466191290796994,0.0166663453768347
8,2.00946346907,,5.786519143601125e-06,0.00023543684394624457,0.0037304007479503393,0.00179615546299,4.22131875284e-07,2.02559095079e-10,,,,,,,0.0066237044983975925,4.942706991800992e-05,0.0065728990547028205,0.023327650812304947,0.0021811881444333083,0.02114655102516502,0.12624490078450584,0.06688647109033519,0.05935842969417065
9,2.61261795876,,3.199240878783166e-05,0.0011733848561157878,0.007056095639779015,0.00199417088511,2.33519760795e-06,4.80140077224e-10,,,,,,,0.015939655726151213,0.0002765936712036794,0.01566005397998172,0.06320413180124626,0.011758195904223199,0.05144593589702306,0.41741556190084184,0.27123725572930873,0.14617830617153307
11,3.81892693813,,0.0003478273211284194,0.00927203765294266,0.02258589133436127,0.0029826964742,2.75732948324e-05,1.62047276063e-09,,,,,,,0.05671654662204248,0.003100103995608323,0.053615205624326805,0.30071521229702347,0.11770958624378407,0.18300562605323942,2.326094105580138,1.7918859097912783,0.5343495674582709
0,5.02523591751,,0.0018289095792138339,0.029435466527074926,0.045807562481992775,0.00542994754118,0.000158973067926,3.84112061779e-09,,,,,,,0.14644219995443464,0.017007954308004423,0.1294336173278995,0.9953508004368542,0.5434012812914265,0.4519809350719635,7.707897575582558,6.380888838706229,1.327197232435544
2,6.23154489689,,0.006395104545463723,0.049794243559398224,0.1921574781522282,0.0105723660226,0.000520928697159,7.50218870662e-09,,,,,,,0.3211051303665255,0.06293493658074178,0.2581652850472625,2.529423872606695,1.6181165661395929,0.9113073064671018,18.467656064586752,15.857679792846605,2.61007444651057
3,7.43785387627,,0.017115868015655233,0.058484752777207334,0.20004798080080066,0.0214594967685,0.00122867320295,1.2963782085e-08,,,,,,,0.6369712622841083,0.18090625676247804,0.4560650055216302,5.39764102396733,3.7672015606440308,1.6304394633232988,34.62545613062161,30.09025297589938,4.535839327234577
4,9.85047183502,,0.07167606471018186,0.17579095852427046,1.1019450391731558,0.0197948092685,0.00341208296639,3.07289649423e-08,,,,,,,2.045553808605386,0.9167670017999592,1.1287993731760415,18.519060374381112,14.40483063523992,4.114355402847337,77.27689609300172,66.71109168044853,10.566558394790054
5,12.2630897938,,0.18120902775446776,0.279169777179623,1.2744263298368697,0.0539807405398,0.0142985945841,6.0017509653e-08,,,,,,,5.320679857936014,3.034189454745192,2.2864904031908213,46.741008199190645,38.39026222686727,8.349764224619122,122.1608303348391,101.79938294876025,20.361447386078847
7,14.6757077525,,0.31254448673503415,0.9609597856580068,1.2725712193749246,0.0674102377366,0.060688193219,1.0371025668e-07,,,,,,,11.665141929823868,7.595617054143258,4.069807619019434,97.22412448770477,82.47905936808107,14.74308591625193,175.3715559050162,140.54040399540082,34.83115190961539
