,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg,CextC,CscaC,CabsC,CextX,CscaX,CabsX,CextKu,CscaKu,CabsKu,CextKa,CscaKa,CabsKa,CextW,CscaW,CabsW
10,0.427726411888,,7.409996052205907e-11,2.837329405089622e-09,9.91408101656599e-08,0.00174409386396,4.93984109375e-12,4.80140077224e-13,,,,,,,9.329744782998289e-05,6.237789293335214e-10,9.328959384834891e-05,0.00022853515758538951,2.3898880714020957e-08,0.0002285115956404876,0.0004648614649516817,8.419468311620647e-07,0.0004640132349352125
1,0.655452823775,,4.739092517940203e-09,1.8065100235937387e-07,6.096574703556353e-06,0.00184290481646,3.3231658267e-10,3.84112061779e-12,,,,,,,0.0007469136533909734,3.991393466385832e-08,0.0007468508215379016,0.0018369834723335598,1.528541905604114e-06,0.0018354755078598367,0.003847822682116779,5.3394508740412126e-05,0.0037944156070057523
6,1.33863205944,,1.151472247356999e-06,4.248415015357647e-05,0.0010921943209745765,0.00213978517404,9.07134455397e-08,6.0017509653e-11,,,,,,,0.011735223007943822,9.743453265567894e-06,0.011724816482278808,0.029815677777975634,0.00037096318752669977,0.02944654064117883,0.07825707300092175,0.011904476312155974,0.06635240033922493
8,1.90794808916,,1.302121432573672e-05,0.000456453777612512,0.007148546821087938,0.00240621671729,1.09574656989e-06,2.02559095079e-10,,,,,,,0.03995781878623815,0.00011095908902938299,0.03984472145070892,0.10711112890258763,0.00417523554148309,0.10293624679027807,0.35555858429936305,0.11161735086508048,0.2439412334342826
9,2.47726411888,,7.241292526708133e-05,0.0023521104197426783,0.015964003069216533,0.00283372903423,6.6463316534e-06,4.80140077224e-10,,,,,,,0.0959678015855342,0.0006231191948762675,0.09533948305481625,0.2775911268711941,0.022982321057336132,0.2546103766101848,1.066178006812036,0.4560414435767283,0.6101522711985756
11,3.61589617831,,0.0008002520061627025,0.02027799883121787,0.029993766811526,0.0048511282211,9.78986689488e-05,1.62047276063e-09,,,,,,,0.337189103005201,0.007079363060369665,0.3301028480759475,1.1799232958260715,0.24091499613594178,0.9390082996901298,4.736834498220435,2.5459270515150836,2.191084161292116
0,4.75452823775,,0.004302096979825863,0.07134242757037061,0.08647862097536624,0.00845542492954,0.000598169848806,3.84112061779e-09,,,,,,,0.8483242642488518,0.03953380195277396,0.8087716127401563,3.536176690880671,1.148377778593213,2.387798912287458,11.81270253676298,6.862180833236184,4.950521703526796
2,5.89316029719,,0.015458108477218154,0.13376803344214916,0.25302583581553045,0.0169956776762,0.00223550263315,7.50218870662e-09,,,,,,,1.790855074701819,0.1492256510455152,1.641629423656304,8.305094704075893,3.409904301160447,4.895386752456296,22.179153260491816,13.615368036346888,8.56427609799705
3,7.03179235663,,0.042699899029061746,0.16302274058191815,0.1074212630023592,0.0340922039151,0.00537454711,1.2963782085e-08,,,,,,,3.3957474992652075,0.4382097636749527,2.957495324089431,16.324186666950606,7.548540288229216,8.776353237068447,35.78329010310212,22.455475969329125,13.328520992120056
4,9.3090564755,,0.19198901024617943,0.2671107737788186,0.6850431276711759,0.0610060649304,0.0153584150369,3.07289649423e-08,,,,,,,9.943894730848557,2.316987413875544,7.627032980679156,42.71937690351401,22.106759184780657,20.61261771873335,69.85394097109976,44.13183696056797,25.72336064759323
5,11.5863205944,,0.521406205725481,0.6350140500609219,0.9111404093573798,0.0988638659642,0.0571315076315,6.0017509653e-08,,,,,,,23.960534469847655,7.901498222860028,16.058839897446777,81.45364352594936,44.178646691106465,37.2749968348429,111.5206487162122,68.8538934896458,42.66871872197487
7,13.8635847133,,0.9578213345970705,1.6936325995502575,1.1991427742825704,0.0681681715703,0.108083723131,1.0371025668e-07,,,,,,,49.36981439189824,19.86469875569323,29.504267406188546,133.49161255854142,76.25305104719682,57.23856151134459,162.73575609301272,98.65480578214955,64.0837777442514
