Dmax,model,ELWP,mkg,Dmax,Rgyr,ar,riming,Xa,Xs,Xb,Xe,Ua,Us,Ub,Ue,Aa,As,Ab,Ae,Wa,Ws,Wb,We
1.347739,A,1.0,0.000174833,1.347739,,,0.9989933000000001,1.23687e-11,5.8504589999999995e-12,8.742744e-12,1.8219159000000002e-11,2.37786e-11,2.260146e-11,3.3660309999999995e-11,4.638006e-11,1.656707e-10,1.0567349999999999e-09,1.5108110000000002e-09,1.2224056999999998e-09,1.3889860000000001e-09,4.741403e-08,4.946581e-08,4.8803016e-08
1.501504,A,1.0,0.0002435342,1.501504,,,0.9992773000000001,1.718889e-11,1.130361e-11,1.6890710000000002e-11,2.84925e-11,3.306944e-11,4.367005e-11,6.503527e-11,7.673949e-11,2.32225e-10,2.0417460000000003e-09,2.9207240000000003e-09,2.273971e-09,1.984679e-09,8.863097999999999e-08,9.406425999999999e-08,9.061565899999999e-08
1.612674,A,1.0,0.00032514249999999995,1.612674,,,0.9976543,2.286004e-11,2.003973e-11,2.9910840000000003e-11,4.289977e-11,4.40199e-11,7.742261999999999e-11,1.150405e-10,1.2144252e-10,3.121091e-10,3.6185409999999997e-09,5.09482e-09,3.9306501e-09,2.722943e-09,1.508704e-07,1.385706e-07,1.53593343e-07
1.640255,A,1.0,0.0002777381,1.640255,,,0.9980989,1.895182e-11,1.4208510000000001e-11,2.112595e-11,3.316033e-11,3.647342e-11,5.483365e-11,8.101900999999999e-11,9.130707e-11,2.569844e-10,2.53146e-09,3.4675250000000004e-09,2.7884443999999997e-09,2.218125e-09,1.017316e-07,7.608938e-08,1.0394972500000001e-07
1.679725,A,1.0,0.00028495440000000005,1.679725,,,0.9973235,2.018671e-11,1.55472e-11,2.31936e-11,3.573391e-11,3.885501e-11,6.004106e-11,8.911954e-11,9.889607e-11,2.7417e-10,2.7934549999999996e-09,3.901689e-09,3.0676249999999997e-09,2.3665360000000004e-09,1.1567789999999999e-07,9.809623000000001e-08,1.1804443599999999e-07
1.699145,A,1.0,0.00040569479999999996,1.699145,,,0.9966739,2.847607e-11,3.11808e-11,4.64634e-11,5.965687e-11,5.4875969999999996e-11,1.204086e-10,1.782936e-10,1.7528456999999998e-10,3.920891e-10,5.592241e-09,7.672391e-09,5.984330099999999e-09,3.463228e-09,2.157456e-07,1.50251e-07,2.19208828e-07
1.751102,A,1.0,0.000413087,1.751102,,,0.9964494,2.892618e-11,3.219339e-11,4.795465e-11,6.111957e-11,5.5744359999999996e-11,1.243137e-10,1.840423e-10,1.8005806e-10,3.983266e-10,5.7701289999999995e-09,7.936337e-09,6.1684556e-09,3.5041740000000004e-09,2.204117e-07,1.65311e-07,2.23915874e-07
1.773451,A,1.0,0.00044171740000000003,1.773451,,,0.9961482,3.119959e-11,3.712885e-11,5.522399e-11,6.832844e-11,6.014448e-11,1.433168e-10,2.115716e-10,2.0346128e-10,4.311196e-10,6.622199000000001e-09,8.932769e-09,7.053318600000001e-09,3.835109e-09,2.462386e-07,1.501287e-07,2.50073709e-07
1.808415,A,1.0,0.00048700969999999997,1.808415,,,0.9957835999999999,3.601812e-11,4.7315420000000004e-11,7.06356e-11,8.333354000000001e-11,6.945991999999999e-11,1.828939e-10,2.719155e-10,2.5235382e-10,4.999553e-10,8.582479e-09,1.214769e-08,9.0824343e-09,4.346862e-09,3.28428e-07,2.980849e-07,3.32774862e-07
1.819145,A,1.0,0.00043203699999999997,1.819145,,,0.9951114,3.129658e-11,3.63971e-11,5.43158e-11,6.769368e-11,6.032326999999999e-11,1.406274e-10,2.088572e-10,2.0095067e-10,4.318949e-10,6.568955e-09,9.210189e-09,7.0008498999999994e-09,3.777214e-09,2.54472e-07,2.1692420000000003e-07,2.58249214e-07
