Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg,CextC,CscaC,CabsC,CextX,CscaX,CabsX,CextKu,CscaKu,CabsKu,CextKa,CscaKa,CabsKa,CextW,CscaW,CabsW
0.404582,1.48780497192e-08,5.83116965505e-08,2.27343167917e-06,8.32950245657e-05,0.00431845918001,9.81772190222e-09,4.43094983516e-06,,,,0.0001574774953,1.00073e-08,0.000157467488,0.0002856809649,3.9522e-08,0.0002856414429,0.001093876272,1.534164e-06,0.001092342108,0.002807708992,5.7522805e-05,0.002750186187
0.620849,1.02745647799e-07,4.06121200466e-07,1.64344539516e-05,0.000573274351137,0.00235421821879,3.86902909021e-08,1.21484319984e-05,,,,0.0003171653681,6.86512e-08,0.0003170967169,0.0005849241041,2.725913e-07,0.0005846515128,0.002512255644,1.1135171e-05,0.002501120473,0.007541170142,0.000419319928,0.007121850214
0.806859,2.84526972394e-07,1.13496286355e-06,4.74998857834e-05,0.00157133979865,0.000707909737068,3.36256316524e-08,2.10543477267e-05,,,,0.0003629899547,1.89961e-07,0.0003627999937,0.000696047655,7.604879e-07,0.0006952871671,0.0036186162,3.2347853e-05,0.003586268347,0.01291293989,0.00120905448,0.01170388541
1.00607,7.49739612597e-07,2.98317305349e-06,0.000121994478415,0.00348706025524,0.000204782112422,2.49822869927e-08,3.40094208768e-05,,,,0.0006161655378,5.008718e-07,0.000615664666,0.00117711963,1.998767e-06,0.001175120863,0.006031781576,8.4027447e-05,0.005947754129,0.02215987187,0.00293194281,0.01922792906
1.20688,2.26726388199e-06,9.00192977495e-06,0.000359520392892,0.00868121828762,0.000162876614237,5.85574643429e-08,5.88201254608e-05,,,,0.001108245685,1.517378e-06,0.001106728307,0.002116564487,6.046171e-06,0.002110518316,0.01087980546,0.00025157676,0.0106282287,0.04273965613,0.00825134155,0.03448831458
1.50748,5.57332930468e-06,2.21189360616e-05,0.000865481570169,0.0159319513502,3.96019146499e-05,3.42747272725e-08,9.33433869249e-05,,,,0.00157233081,3.743343e-06,0.001568587467,0.003035633013,1.4900583e-05,0.00302073243,0.01670770627,0.00061862939,0.01608907688,0.07252094856,0.01830803313,0.05421291543
1.6223,1.14991992227e-05,4.55734593458e-05,0.00175000449709,0.026149828454,4.44483910135e-05,7.77848841607e-08,0.000134520409151,,,,0.002203225824,7.725673e-06,0.002195500151,0.00426513868,3.0766878e-05,0.004234371802,0.02413947018,0.00127077602,0.02286869416,0.1131434568,0.03490632354,0.07823713326
1.81529,1.82535274615e-05,7.22128868973e-05,0.00270778724404,0.0323418831341,5.8069029105e-05,1.57238576282e-07,0.00016938112706,,,,0.002767685661,1.2276137e-05,0.002755409524,0.005370950372,4.8864666e-05,0.005322085706,0.03100378669,0.00199960414,0.02900418255,0.1500145372,0.05066287107,0.09935166613
2.01385,3.46095295959e-05,0.000136240190375,0.00481615492991,0.0326908015567,4.58077517688e-05,2.20617229508e-07,0.000233233755148,,,,0.003952700701,2.3325358e-05,0.003929375343,0.007676425703,9.2697245e-05,0.007583728458,0.04478633937,0.00369871466,0.04108762471,0.2184067149,0.0803944262,0.1380122887
2.26452,4.88425547292e-05,0.000192005487434,0.00666310479917,0.0372328319254,2.47482062996e-05,1.64899892163e-07,0.000277381861287,,,,0.004644272764,3.2932247e-05,0.004611340517,0.009039158545,0.000130851019,0.008908307526,0.05379917246,0.00518320383,0.04861596863,0.2692084816,0.1055145964,0.1636938852
