Dmax,model,ELWP,mkg,Dmax,Rgyr,ar,riming,Xa,Xs,Xb,Xe,Ua,Us,Ub,Ue,Aa,As,Ab,Ae,Wa,Ws,Wb,We
3.407336,A,2.0,0.002724403,3.407336,,,0.9993324,2.078882e-10,1.503941e-09,2.22302e-09,1.7118292e-09,4.058214e-10,5.801608e-09,8.455549000000002e-09,6.2074294e-09,3.1964040000000003e-09,2.547561e-07,3.1195590000000005e-07,2.57952504e-07,2.6946010000000002e-08,3.669499e-06,3.998812e-07,3.69644501e-06
3.451062,A,2.0,0.0034875080000000003,3.451062,,,0.9986374,2.527788e-10,2.320344e-09,3.37534e-09,2.5731228e-09,4.951022e-10,8.911790999999999e-09,1.258419e-08,9.406893199999999e-09,3.989557e-09,3.69096e-07,3.5477020000000003e-07,3.73085557e-07,3.834908e-08,6.03116e-06,4.6427790000000003e-07,6.06950908e-06
3.46054,A,2.0,0.00370206,3.46054,,,0.9981141,2.731636e-10,2.6664109999999996e-09,3.902873e-09,2.9395745999999994e-09,5.353738e-10,1.026378e-08,1.4671579999999999e-08,1.0799153799999999e-08,4.308466e-09,4.310268e-07,4.522753e-07,4.35335266e-07,3.747757e-08,6.034009999999999e-06,1.613829e-06,6.071487569999999e-06
3.480165,A,2.0,0.0035972770000000003,3.480165,,,0.9982223,2.688293e-10,2.5572499999999996e-09,3.75823e-09,2.8260792999999996e-09,5.269017e-10,9.864514000000002e-09,1.421514e-08,1.0391415700000002e-08,4.261168e-09,4.253823e-07,4.800497e-07,4.29643468e-07,3.731925e-08,5.695307e-06,7.01953e-07,5.73262625e-06
3.5563040000000004,A,2.0,0.003135437,3.5563040000000004,,,0.9987275999999999,2.23326e-10,1.8405639999999997e-09,2.6784640000000003e-09,2.0638899999999996e-09,4.36524e-10,7.058803999999999e-09,9.972954e-09,7.495327999999999e-09,3.4640859999999997e-09,2.894202e-07,2.753753e-07,2.92884286e-07,3.3043879999999996e-08,5.070573e-06,8.855861e-07,5.10361688e-06
3.571828,A,2.0,0.003390998,3.571828,,,0.9988927,2.45951e-10,2.2027489999999998e-09,3.2247359999999997e-09,2.4486999999999996e-09,4.815852e-10,8.482212000000001e-09,1.2129110000000001e-08,8.963797200000002e-09,3.876406e-09,3.6148629999999996e-07,3.8412040000000005e-07,3.6536270599999995e-07,3.544075e-08,5.568233000000001e-06,1.002038e-06,5.603673750000001e-06
3.575918,A,2.0,0.003101291,3.575918,,,0.9986758,2.255196e-10,1.848457e-09,2.7161540000000004e-09,2.0739766e-09,4.40897e-10,7.120287e-09,1.0259979999999999e-08,7.561184e-09,3.508656e-09,3.0594109999999997e-07,3.444298e-07,3.0944975599999997e-07,3.0812930000000004e-08,4.572717e-06,4.3069540000000005e-07,4.60352993e-06
3.633501,A,2.0,0.003826027,3.633501,,,0.9986505999999999,2.751522e-10,2.7623509999999996e-09,3.999454e-09,3.0375031999999997e-09,5.393606e-10,1.058671e-08,1.481428e-08,1.11260706e-08,4.35049e-09,4.25167e-07,3.8018380000000003e-07,4.2951749e-07,4.1770110000000005e-08,6.6334630000000006e-06,7.42615e-07,6.675233110000001e-06
3.6707300000000003,A,2.0,0.003920191,3.6707300000000003,,,0.9987578000000001,2.834327e-10,2.92115e-09,4.266002000000001e-09,3.2045827e-09,5.557707e-10,1.123094e-08,1.598319e-08,1.17867107e-08,4.478154e-09,4.634577e-07,4.668533e-07,4.6793585400000004e-07,3.947664e-08,6.506944e-06,1.906922e-06,6.54642064e-06
3.766138,A,2.0,0.003117249,3.766138,,,0.9991530999999999,2.213103e-10,1.8126170000000002e-09,2.6410029999999996e-09,2.0339273e-09,4.324837e-10,6.952705999999999e-09,9.849628000000001e-09,7.385189699999999e-09,3.4238709999999996e-09,2.854975e-07,2.8072779999999996e-07,2.8892137099999997e-07,3.281421e-08,4.855195e-06,4.827778e-07,4.88800921e-06
