Dmax,model,ELWP,mkg,Dmax,Rgyr,ar,riming,Xa,Xs,Xb,Xe,Ua,Us,Ub,Ue,Aa,As,Ab,Ae,Wa,Ws,Wb,We
0.44510710000000003,A,0.2,6.570906e-06,0.44510710000000003,,,0.9196429,4.830037999999999e-13,8.687841000000001e-15,1.3018119999999999e-14,4.916916409999999e-13,9.25865e-13,3.357393e-14,5.029361e-14,9.594389299999998e-13,6.240864e-12,1.576926e-12,2.354523e-12,7.817789999999999e-12,4.4694840000000005e-11,7.684074e-11,1.121687e-10,1.2153558e-10
0.47836739999999994,A,0.2,9.739021e-06,0.47836739999999994,,,0.9096386000000001,6.719728e-13,1.787587e-14,2.6782679999999998e-14,6.8984867e-13,1.288223e-12,6.907670000000001e-14,1.034471e-13,1.3572997000000001e-12,8.693295e-12,3.2424040000000003e-12,4.829595e-12,1.1935699e-11,6.271379e-11,1.572526e-10,2.255972e-10,2.1996639000000001e-10
0.49595670000000003,A,0.2,1.0384379999999999e-05,0.49595670000000003,,,0.9152541999999999,7.400164000000001e-13,2.096148e-14,3.1414440000000004e-14,7.609778800000001e-13,1.4187049999999999e-12,8.09947e-14,1.213163e-13,1.4996996999999998e-12,9.576804e-12,3.7995180000000004e-12,5.6522669999999996e-12,1.3376322e-11,6.921634e-11,1.834974e-10,2.60173e-10,2.5271374e-10
0.525899,A,0.2,8.506976000000001e-06,0.525899,,,0.937931,5.980978e-13,1.3856970000000002e-14,2.070275e-14,6.1195477e-13,1.1465209999999998e-12,5.3539919999999994e-14,7.995453999999999e-14,1.2000609199999997e-12,7.730849000000001e-12,2.509756e-12,3.727732e-12,1.0240605000000002e-11,5.54606e-11,1.20605e-10,1.724108e-10,1.7606559999999999e-10
0.5551758,A,0.2,8.565645000000001e-06,0.5551758,,,0.9246575,5.85101e-13,1.3753970000000001e-14,2.061096e-14,5.9885497e-13,1.121612e-12,5.3145579999999994e-14,7.961378e-14,1.17475758e-12,7.563267e-12,2.493471e-12,3.7195059999999995e-12,1.0056738e-11,5.42853e-11,1.205677e-10,1.745626e-10,1.74853e-10
0.6636693,A,0.2,2.235281e-05,0.6636693,,,0.9002625,1.611912e-12,9.791084e-14,1.46695e-13,1.70982284e-12,3.091139e-12,3.783559e-13,5.666324000000001e-13,3.4694949e-12,2.093746e-11,1.776296e-11,2.646867e-11,3.870042e-11,1.544638e-10,8.602759e-10,1.2379460000000002e-09,1.0147397e-09
0.6975743,A,0.2,1.830467e-05,0.6975743,,,0.9102564000000001,1.322987e-12,6.596218e-14,9.883876000000001e-14,1.38894918e-12,2.536717e-12,2.548593e-13,3.81727e-13,2.7915763e-12,1.7153879999999998e-11,1.194452e-11,1.7802e-11,2.9098399999999996e-11,1.252092e-10,5.71997e-10,8.236632e-10,6.972061999999999e-10
0.7345502,A,0.2,1.0091030000000001e-05,0.7345502,,,0.9127907,7.122778e-13,1.966788e-14,2.947714e-14,7.3194568e-13,1.365498e-12,7.599588e-14,1.138365e-13,1.44149388e-12,9.215334e-12,3.564527e-12,5.304626e-12,1.2779860999999999e-11,6.648972e-11,1.719633e-10,2.443953e-10,2.3845302e-10
0.7678522999999999,A,0.2,2.6987650000000002e-05,0.7678522999999999,,,0.8891304,1.937381e-12,1.418267e-13,2.120161e-13,2.0792077000000003e-12,3.715667e-12,5.479616999999999e-13,8.184845e-13,4.2636287e-12,2.519729e-11,2.567086e-11,3.797718e-11,5.086815e-11,1.870663e-10,1.224372e-09,1.69323e-09,1.4114383e-09
0.7928773,A,0.2,2.4054209999999998e-05,0.7928773,,,0.8926829,1.662475e-12,1.0908219999999998e-13,1.631691e-13,1.7715572e-12,3.1882049999999997e-12,4.2139200000000003e-13,6.296612e-13,3.6095969999999998e-12,2.160253e-11,1.9710710000000002e-11,2.9077640000000003e-11,4.131324e-11,1.595801e-10,9.309432e-10,1.253543e-09,1.0905232999999999e-09
0.8150642999999999,A,0.2,3.4849269999999996e-05,0.8150642999999999,,,0.8973064000000001,2.4618580000000002e-12,2.321855e-13,3.4705500000000003e-13,2.6940435e-12,4.722213e-12,8.968871999999999e-13,1.338994e-12,5.6191002e-12,3.207433e-11,4.1914e-11,6.168096999999999e-11,7.398833e-11,2.400122e-10,1.961743e-09,2.6048100000000002e-09,2.2017552e-09
0.8529264999999999,A,0.2,3.091846e-05,0.8529264999999999,,,0.9032258,2.1248130000000002e-12,1.7908529999999999e-13,2.672526e-13,2.3038983e-12,4.075303e-12,6.915228e-13,1.0299989999999999e-12,4.7668258e-12,2.764755e-11,3.21812e-11,4.684232e-11,5.982875e-11,2.053009e-10,1.4661830000000001e-09,1.8019279999999998e-09,1.6714839000000001e-09
0.9270652,A,0.2,3.437992e-05,0.9270652,,,0.883959,2.515262e-12,2.3548710000000003e-13,3.522737e-13,2.7507491e-12,4.8245089999999994e-12,9.097195e-13,1.359723e-12,5.734228499999999e-12,3.275796e-11,4.2557609999999996e-11,6.296332e-11,7.531556999999999e-11,2.445774e-10,2.0053320000000004e-09,2.7588240000000002e-09,2.2499094000000004e-09
0.9479624,A,0.2,3.7489360000000005e-05,0.9479624,,,0.885759,2.6890709999999997e-12,2.7298459999999994e-13,4.076909e-13,2.9620555999999995e-12,5.157983e-12,1.054229e-12,1.572284e-12,6.212212e-12,3.5028e-11,4.912622e-11,7.206694000000001e-11,8.415422e-11,2.613409e-10,2.2529050000000003e-09,2.9320759999999996e-09,2.5142459000000004e-09
0.9846461000000001,A,0.2,4.939913e-05,0.9846461000000001,,,0.8693586999999999,3.605346e-12,4.833532e-13,7.213215000000001e-13,4.0886992e-12,6.91734e-12,1.866947e-12,2.782535e-12,8.784287e-12,4.711925e-11,8.715764000000001e-11,1.27922e-10,1.3427689e-10,3.574591e-10,4.033139e-09,5.291543000000001e-09,4.3905981e-09
1.05059,A,0.2,4.9868480000000004e-05,1.05059,,,0.8882353000000001,3.357095e-12,4.547635999999999e-13,6.745955e-13,3.8118585999999995e-12,6.440926e-12,1.754652e-12,2.593485e-12,8.195578e-12,4.386162e-11,8.089318e-11,1.144742e-10,1.2475480000000001e-10,3.315734e-10,3.453942e-09,3.4870890000000003e-09,3.7855154e-09
1.142533,A,0.2,5.966616999999999e-05,1.142533,,,0.8938053,4.58678e-12,7.406959e-13,1.110485e-12,5.3274759e-12,8.801145e-12,2.861107e-12,4.2893940000000005e-12,1.1662252e-11,6.000933000000001e-11,1.336478e-10,2.002975e-10,1.9365713000000002e-10,4.558881e-10,6.162609e-09,9.210325e-09,6.6184971e-09
1.156109,A,0.2,6.277562e-05,1.156109,,,0.9046728999999999,4.404845e-12,7.472496999999999e-13,1.118363e-12,5.1520947e-12,8.45174e-12,2.884152e-12,4.3085300000000004e-12,1.1335892e-11,5.759712e-11,1.334757e-10,1.950101e-10,1.9107282e-10,4.349383e-10,5.7853299999999995e-09,7.202423999999999e-09,6.220268299999999e-09
1.183557,A,0.2,5.5852699999999995e-05,1.183557,,,0.8792017,4.4688989999999995e-12,6.772883000000001e-13,1.015861e-12,5.146187299999999e-12,8.574814e-12,2.617012e-12,3.926922e-12,1.1191826e-11,5.845875e-11,1.227128e-10,1.850664e-10,1.8117154999999998e-10,4.448967e-10,5.817187e-09,9.085429000000001e-09,6.2620837e-09
