,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg,CextC,CscaC,CabsC,CextX,CscaX,CabsX,CextKu,CscaKu,CabsKu,CextKa,CscaKa,CabsKa,CextW,CscaW,CabsW
10,0.436979448268,,4.981780550430015e-11,2.0929290258215205e-09,8.09195727748391e-08,0.00176260693865,3.68242699716e-12,4.80140077224e-13,,,,,,,4.8408015801001723e-05,4.191905617501201e-10,4.840330341202134e-05,0.00012872675898084176,1.7628261777455727e-08,0.00012871105101757384,0.0002818008610270045,6.880716229892365e-07,0.00028111756462484866
1,0.673958896535,,3.1852607914746916e-09,1.3302445773095262e-07,4.925388962298078e-06,0.0016569167822,2.20047466903e-10,3.84112061779e-12,,,,,,,0.0003874840378937651,2.6816949050307836e-08,0.0003874212060406933,0.0010339923900760087,1.1260724707527256e-06,0.0010328928326472522,0.0023326639612169576,4.33382706562712e-05,0.00228937281445049
6,1.38489724134,,7.724587286554754e-07,3.0913271711323566e-05,0.0008220369877199393,0.00171716289764,5.2991022642e-08,6.0017509653e-11,,,,,,,0.0060815343287272915,6.537065263497812e-06,0.006074465745256714,0.016742136299602556,0.00027098200132620457,0.016471566632312137,0.048386417351508296,0.009296169011513047,0.039089266592291005
8,1.97734586201,,8.710703768085463e-06,0.0003264316025359165,0.004832260375073225,0.00198500220556,6.46670106818e-07,2.02559095079e-10,,,,,,,0.02068090808904076,7.428639441109553e-05,0.02060536260319897,0.0601271381465959,0.003014971743434561,0.05711415444226244,0.2244496145141664,0.08390850366041851,0.1405411108537479
9,2.56979448268,,4.8251721566485635e-05,0.001642346099480404,0.009293616467482006,0.0024724386139,4.05066969687e-06,4.80140077224e-10,,,,,,,0.049599464814875656,0.0004160646770597982,0.04918006219562141,0.15616857080994861,0.01635356055826167,0.13981658104801375,0.6861631054521807,0.3386165641671759,0.34754654128500484
11,3.75469172401,,0.0005274223556571055,0.013258542015761344,0.025397420409783284,0.00388300657595,5.12845320824e-05,1.62047276063e-09,,,,,,,0.17380409752041576,0.004688061272273454,0.16911055809595263,0.6692888259115866,0.16562574644495814,0.5036719151959665,3.400872222281376,2.1336519205936777,1.2672026302290214
0,4.93958896535,,0.0027930015327474697,0.04277906716393221,0.05809747294283604,0.00710419485792,0.000301779383182,3.84112061779e-09,,,,,,,0.43646146736322994,0.02589112169529492,0.4105747438976501,2.022494518528037,0.7675853330515942,1.254909185476443,10.105561088802288,7.022087899303905,3.083724516910669
2,6.12448620669,,0.009848402095151879,0.07236462328003239,0.2256841622522568,0.0150675267083,0.00107419089966,7.50218870662e-09,,,,,,,0.9206829970426588,0.09642235077260049,0.8242262851004097,4.8143925668559335,2.2706842651524477,2.543708301703486,21.763873981595417,15.90333106109408,5.861033794353458
3,7.30938344803,,0.026604027608210786,0.08270949518922188,0.1520169561182297,0.0313115929045,0.00251123558148,1.2963782085e-08,,,,,,,1.745445316389587,0.27898285241673443,1.4665190126406173,9.788574390055077,5.215766371269382,4.572949390455107,37.52781650364054,27.752672422179554,9.775144081460981
4,9.6791779307,,0.11347809655884764,0.21361573407349158,0.9621818652002531,0.0281860625973,0.00585595707841,3.07289649423e-08,,,,,,,5.109611955504583,1.4301786396202174,3.6794333158843657,30.17939566744499,18.72263557833373,11.456006106874396,75.58043606006325,55.001747541988664,20.57868851807458
5,12.0489724134,,0.29047951073254624,0.3711595370675491,0.8991630873655687,0.0713711663599,0.0247261500565,6.0017509653e-08,,,,,,,12.295604597527904,4.759905569270235,7.5356990282576675,68.3905085732413,45.60414435767284,22.786364215568472,118.61672112250812,82.31561801027807,36.303066607638556
7,14.4187668961,,0.5003143380474425,1.4494837264765266,1.3453776291218682,0.0565852444957,0.0776273574059,1.0371025668e-07,,,,,,,25.418626160195018,11.887095450799988,13.531530709395028,126.99134319899876,88.41949691675401,38.57184628224476,171.65630843288093,114.66656105970067,56.989747373180286
