,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg
10,0.210934430815,,1.1861868461791663e-10,4.324873526564389e-09,1.3750751044762524e-07,0.00158083035194,8.57775712903e-11,4.80140077224e-13
1,0.42186886163,,7.590716169603659e-09,2.7643187918201953e-07,8.659171831089548e-06,0.00159458491978,5.53039604371e-09,3.84112061779e-12
6,1.05467215408,,1.8516743449799092e-06,6.679615030154447e-05,0.001827680431088117,0.00181854920186,1.52368054266e-06,6.0017509653e-11
8,1.58200823111,,2.1063936955852654e-05,0.0007472376301333747,0.014838282064141927,0.00203543340279,1.90742230895e-05,2.02559095079e-10
9,2.10934430815,,0.00011811602979334225,0.004073703193909884,0.039391644885199015,0.00260842654406,0.000133180965951,4.80140077224e-10
11,3.16401646223,,0.001336810505955529,0.0409977841293468,0.035277532955782336,0.00402525130326,0.00206543362449,1.62047276063e-09
0,4.2186886163,,0.007432379899862732,0.17191737478239424,0.06606141031968618,0.00703399148766,0.0150900806336,3.84112061779e-09
2,5.27336077038,,0.02790372412395497,0.3638406079323892,0.16302902376722533,0.0126234220722,0.0569969388179,7.50218870662e-09
3,6.32803292445,,0.08140180724716513,0.4296285033416722,0.13726482241513543,0.025006964236,0.131713718021,1.2963782085e-08
4,8.4373772326,,0.4231725304385451,0.29208015218955025,0.3803714721260378,0.112936344969,0.37245524376,3.07289649423e-08
5,10.5467215408,,1.3861295836260716,0.5286711387369074,0.7794880422178825,0.12329917368,0.729222221193,6.0017509653e-08
7,12.6560658489,,2.901229399663638,1.1574664061400484,0.8373161235906732,0.102072928782,1.34715933016,1.0371025668e-07
