Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg,CextC,CscaC,CabsC,CextX,CscaX,CabsX,CextKu,CscaKu,CabsKu,CextKa,CscaKa,CabsKa,CextW,CscaW,CabsW
0.404582,4.3644815882e-08,1.69778480452e-07,6.09903327977e-06,0.0001817217432,0.00147115448844,8.97262018333e-09,4.43094983516e-06,,,,0.000425059327,2.91769e-08,0.0004250301501,0.0007759439531,1.136377e-07,0.0007758303154,0.00314481464,4.100083e-06,0.003140714557,0.008388567219,0.000125524438,0.008263042781
0.620849,3.5023161298e-07,1.35203998647e-06,4.68958418366e-05,0.00127745742501,0.00137723861353,6.45867641866e-08,1.21484319984e-05,,,,0.001334247354,2.34243e-07,0.001334013111,0.002404903456,9.06295000001e-07,0.002403997161,0.009266199939,3.178196e-05,0.009234417979,0.02489359963,0.00093669102,0.02395690861
0.806859,9.90249047858e-07,3.83588778306e-06,0.000134658002263,0.00346075685915,0.00100229014324,1.34966388361e-07,2.10543477267e-05,,,,0.002098941655,6.61623e-07,0.002098280032,0.00380521605,2.572234e-06,0.003802643816,0.01520734292,9.179899e-05,0.01511554393,0.04346756175,0.00267017656,0.04079738519
1.00607,2.54419071348e-06,9.86486205433e-06,0.000343742789308,0.00768855206196,0.000196948682755,6.76996895588e-08,3.40094208768e-05,,,,0.00325353281,1.699622e-06,0.003251833188,0.005924436712,6.612853e-06,0.005917823859,0.02430937245,0.00023679115,0.0240725813,0.07247686615,0.00646829259,0.06600857356
1.20688,7.99291708355e-06,3.08218870313e-05,0.00103208406026,0.0190200645533,0.000249034109034,2.57024134399e-07,5.88201254608e-05,,,,0.006197306619,5.348206e-06,0.006191958413,0.01124169854,2.070383e-05,0.01122099471,0.04524186784,0.00072296966,0.04451889818,0.1379145191,0.0181958886,0.1197186305
1.50748,1.97663113093e-05,7.62624107351e-05,0.00250035064158,0.0346256245992,0.000119844004005,2.99652032299e-07,9.33433869249e-05,,,,0.009462008864,1.3243919e-05,0.009448764945,0.01729834786,5.137972e-05,0.01724696814,0.07211934469,0.00178748173,0.07033186296,0.2292358132,0.040038869,0.1891969442
1.6223,4.07189190268e-05,0.000157233132809,0.00509739965086,0.0562629468894,0.000182122784007,9.28352615593e-07,0.000134520409151,,,,0.01324295166,2.73183e-05,0.01321563336,0.02436304203,0.00010615964,0.02425688239,0.1050696727,0.0036987664,0.1013709063,0.3495259476,0.0758492986,0.273676649
1.81529,6.48317394177e-05,0.000249853736394,0.00789583326106,0.0674319600719,0.000143513965574,1.13316234279e-06,0.00016938112706,,,,0.01681037177,4.354529e-05,0.01676682648,0.03096634665,0.00016909832,0.03079724833,0.1350414975,0.0058310381,0.1292104594,0.4532071522,0.1085565754,0.3446505768
2.01385,0.000124582202914,0.000476390784491,0.0140951780215,0.0646041938593,0.000126355537891,1.78100380057e-06,0.000233233755148,,,,0.02465449073,8.391022e-05,0.02457058051,0.0451189109,0.00032418456,0.04479472634,0.194199138,0.0108207007,0.1833784373,0.6431450813,0.1694039665,0.4737411148
2.26452,0.000174454074507,0.000668106784347,0.0195325769232,0.0703526448258,6.30842719469e-05,1.23219839442e-06,0.000277381861287,,,,0.02819853213,0.00011759955,0.02808093258,0.05203787306,0.00045545037,0.05158242269,0.2321160236,0.0151972233,0.2169188003,0.7790229511,0.2197390925,0.5592838586
2.41387,0.000230969707247,0.000880655914458,0.0247480153773,0.0604768519014,4.95886777998e-05,1.22722136073e-06,0.000318111386924,,,,0.03342512434,0.00015592243,0.03326920191,0.06148267576,0.0006021506,0.06088052516,0.2721507232,0.0196944117,0.2524563115,0.9021186095,0.2613737188,0.6407448907
2.51244,0.000387982122955,0.00146814016519,0.0386111650855,0.0404681001157,0.000199687745861,7.71017652102e-06,0.000404052740101,,,,0.04630528925,0.00026260462,0.04604268463,0.08469875525,0.00100865746,0.08369009779,0.3694638988,0.0317809991,0.3376828997,1.190652939,0.364012315,0.826640624
