Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg,CextC,CscaC,CabsC,CextX,CscaX,CabsX,CextKu,CscaKu,CabsKu,CextKa,CscaKa,CabsKa,CextW,CscaW,CabsW
0.404582,2.04882137682e-08,7.99145161582e-08,3.01223756392e-06,0.000102651523618,0.00420411970627,1.26638072992e-08,4.43094983516e-06,,,,0.000227129311,1.37904e-08,0.0002271155206,0.0004103471094,5.37512e-08,0.0004102933582,0.001583138387,2.032108e-06,0.001581106279,0.004114907843,7.100991e-05,0.004043897933
0.620849,1.4006377889e-07,5.52069595738e-07,2.17819589859e-05,0.0007141103683,0.00239499785124,5.2167744959e-08,1.21484319984e-05,,,,0.0004573386134,9.40388e-08,0.0004572445746,0.0008427832068,3.708917e-07,0.0008424123151,0.003676126788,1.4762686e-05,0.003661364102,0.01116047979,0.00052231027,0.01063816952
0.806859,4.05202818178e-07,1.60581868465e-06,6.39651919918e-05,0.00195125943446,0.00105600492927,6.75475580374e-08,2.10543477267e-05,,,,0.0006716216082,2.711454e-07,0.0006713504628,0.001269174245,1.074301e-06,0.001268099944,0.006073339864,4.3603147e-05,0.006029736717,0.01990168026,0.00150394215,0.01839773811
1.00607,1.04373036209e-06,4.13813702241e-06,0.000163515390168,0.00437690868764,0.000211823503259,3.4636402781e-08,3.40094208768e-05,,,,0.001017295515,6.98177e-07,0.001016597338,0.001934480716,2.771155e-06,0.001931709561,0.009606648637,0.000112570556,0.009494078081,0.03344692559,0.00366625249,0.0297806731
1.20688,3.19584162789e-06,1.26266015522e-05,0.000483962151649,0.0108095786895,0.00015794544351,7.64396166852e-08,5.88201254608e-05,,,,0.001906935214,2.139458e-06,0.001904795756,0.003609708453,8.477409e-06,0.003601231044,0.01764675482,0.00033870615,0.01730804867,0.06396648797,0.01028128102,0.05368520695
1.50748,7.85707214092e-06,3.10411590106e-05,0.0011656166872,0.0197752099682,5.72964646744e-05,6.67857153416e-08,9.33433869249e-05,,,,0.002784735734,5.263133e-06,0.002779472601,0.005326473805,2.0906723e-05,0.005305567082,0.02748176972,0.00083314431,0.02664862541,0.1072713622,0.02274439519,0.08452696701
1.6223,1.62423867605e-05,6.41036108674e-05,0.0023667517708,0.0325617576154,6.60113077873e-05,1.56232379595e-07,0.000134520409151,,,,0.003928178618,1.0888016e-05,0.003917290602,0.007536743244,4.3270211e-05,0.007493473033,0.03995268334,0.00171774968,0.03823493366,0.1661410668,0.0434213233,0.1227197435
1.81529,2.56963197372e-05,0.000101256045191,0.00365220124001,0.0397144121888,6.70700155595e-05,2.44953193988e-07,0.00016938112706,,,,0.00488833114,1.7246012e-05,0.004871085128,0.009406940131,6.8516657e-05,0.009338423474,0.05091761091,0.00269764765,0.04821996326,0.217514037,0.062686521,0.154827516
2.01385,4.90087440903e-05,0.000192118767247,0.00652774525378,0.0400545793775,6.43071576254e-05,4.19780742971e-07,0.000233233755148,,,,0.007048829318,3.300274e-05,0.007015826578,0.01356025477,0.00013069942,0.01342955535,0.07370652364,0.00500981069,0.06869671295,0.3145661208,0.0993423827,0.2152237381
2.26452,6.90040580126e-05,0.000270190991622,0.00901696259564,0.044982896985,3.19700072703e-05,2.88272359734e-07,0.000277381861287,,,,0.008243185463,4.6501659e-05,0.008196683804,0.01589957891,0.00018414605,0.01571543286,0.08819984581,0.00701317791,0.0811866679,0.3844759281,0.1298360405,0.2546398876
2.41387,9.04828851803e-05,0.000353302100186,0.0113943974067,0.0397674628429,1.99109184366e-05,2.26872917398e-07,0.000318111386924,,,,0.009500544672,6.1078156e-05,0.009439466516,0.01833652392,0.00024155333,0.01809497059,0.1025958401,0.00907096167,0.09352487843,0.4471069072,0.1552419407,0.2918649665
2.51244,0.000149725552204,0.000581658605764,0.0176894708362,0.0295927608457,0.000104447704947,1.84762463058e-06,0.000404052740101,,,,0.01303836239,0.00010132129,0.0129370411,0.0251418124,0.0003995213,0.0247422911,0.1402310611,0.0145611333,0.1256699278,0.5977554031,0.2180078717,0.3797475314
2.6739,0.000196728714066,0.000763313944295,0.0226691927016,0.0203081133354,1.87690650332e-05,4.25479552069e-07,0.000468191472566,,,,0.01442953371,0.00013326432,0.01429626939,0.0279407391,0.00052559212,0.02741514698,0.1606447451,0.0190453688,0.1415993763,0.700216645,0.2675922029,0.4326244421
2.81425,0.000306768273653,0.00118385961478,0.0328003452691,0.0092997866088,2.81801408052e-05,9.24318348137e-07,0.000582486503083,,,,0.01856873425,0.00020845021,0.01836028404,0.03600519859,0.00082023495,0.03518496364,0.2098111436,0.0289055419,0.1809056017,0.9121119736,0.3661216667,0.5459903069
3.00562,0.000483897713882,0.00185837629132,0.0481051083255,0.00420640264197,3.08894378588e-05,1.48593975428e-06,0.00073288203714,,,,0.02358168303,0.00032975395,0.02325192908,0.04589331838,0.00129485054,0.04459846784,0.2741377442,0.0443416742,0.22979607,1.192575996,0.5050791772,0.6874968188
3.20253,0.000768567765538,0.00293105559079,0.0687229906168,0.0159028935593,4.27561130538e-05,2.93832795624e-06,0.000925356922612,,,,0.03001680899,0.00052592643,0.02949088256,0.05871937629,0.00205960498,0.05665977131,0.3609978311,0.0678064041,0.293191427,1.569983201,0.7000359572,0.8699472438
3.61664,0.00101110010871,0.00382870818647,0.0825257009289,0.0220825546688,7.99581561528e-05,6.59860288151e-06,0.00104857987689,,,,0.03711884659,0.00069373368,0.03642511291,0.07241741887,0.00270432409,0.06971309478,0.435505751,0.0849092753,0.3505964757,1.808039391,0.803315291,1.0047241
3.66878,0.00118661290215,0.00448472857967,0.0926424960535,0.0322566050979,3.2948224057e-05,3.05240571719e-06,0.00114939132165,,,,0.03859473664,0.00081607087,0.03777866577,0.07572597162,0.00318335991,0.07254261171,0.472051316,0.0997760964,0.3722752196,2.031230078,0.945069984,1.086160094
