Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg,CextC,CscaC,CabsC,CextX,CscaX,CabsX,CextKu,CscaKu,CabsKu,CextKa,CscaKa,CabsKa,CextW,CscaW,CabsW
0.404582,1.34683106411e-08,5.3927812383e-08,2.33019894151e-06,8.97672176128e-05,0.00199336338397,4.64493324651e-09,4.43094983516e-06,,,,7.30152779e-05,9.54429e-09,7.300573361e-05,0.000141041512,3.70445e-08,0.0001410044675,0.0007715755627,1.5664712e-06,0.0007700090915,0.002752961972,6.2018226e-05,0.002690943746
0.620849,9.47298485544e-08,3.79773873787e-07,1.65813613612e-05,0.000609813375314,0.00106454423663,1.76515926706e-08,1.21484319984e-05,,,,0.0001572631866,6.40323e-08,0.0001571991543,0.0003054821753,2.555496e-07,0.0003052266257,0.001778249254,1.1216068e-05,0.001767033186,0.007306137327,0.000445473118,0.006860664209
0.806859,2.79809876613e-07,1.12124047444e-06,4.86344486388e-05,0.00166275891055,0.000570578815916,2.77497861148e-08,2.10543477267e-05,,,,0.0002590066131,1.858131e-07,0.0002588208,0.0005040836796,7.483197e-07,0.0005033353599,0.002995058179,3.3103011e-05,0.002961955168,0.01312558395,0.00128045341,0.01184513054
1.00607,7.18979290553e-07,2.87774151669e-06,0.000123102240518,0.00369654621635,6.77280109706e-05,8.3374698962e-09,3.40097407878e-05,,,,0.0003952330243,4.866816e-07,0.0003947463427,0.0007704784606,1.9375995e-06,0.0007685408611,0.004669607687,8.4718657e-05,0.00458488903,0.02192471994,0.00309580863,0.01882891131
1.20688,2.18612170709e-06,8.73294383175e-06,0.00036488116914,0.00919243585224,9.37205430079e-05,3.41968613058e-08,5.88201254608e-05,,,,0.0007171787666,1.4727561e-06,0.0007157060105,0.001399339448,5.880374e-06,0.001393459074,0.008559458284,0.000255282716,0.008304175568,0.04288773163,0.00873388957,0.03415384206
1.50748,5.39077768371e-06,2.14873405462e-05,0.000873909042251,0.0168592958165,2.76544167726e-05,2.41674448757e-08,9.33433869249e-05,,,,0.001070997946,3.597019e-06,0.001067400927,0.002095510602,1.4440488e-05,0.002081070114,0.01322199695,0.00062442916,0.01259756779,0.07230421962,0.01932733394,0.05297688568
1.6223,1.11568253601e-05,4.43980200504e-05,0.00176952547283,0.0277912418982,5.23088894862e-05,9.25619123999e-08,0.000134520409151,,,,0.001527936437,7.468885e-06,0.001520467552,0.002996612746,2.993846e-05,0.002966674286,0.01938406717,0.00128407629,0.01809999088,0.1137029118,0.03687273534,0.07683017646
1.81529,1.76686447977e-05,7.01650940982e-05,0.00272631904889,0.0339871459986,4.99932301681e-05,1.3629749572e-07,0.00016938112706,,,,0.001925695654,1.1846256e-05,0.001913849398,0.003783408742,4.7438231e-05,0.003735970511,0.02490338231,0.00201368623,0.02288969608,0.1503582011,0.05327953477,0.09707866633
2.01385,3.34697764901e-05,0.000132316794414,0.00486430186019,0.0347407456955,5.05126838353e-05,2.45708941943e-07,0.000233233755148,,,,0.002713368475,2.2497901e-05,0.002690870574,0.005344828371,8.9935358e-05,0.005254893013,0.03597998798,0.00373320469,0.03224678329,0.2198061293,0.0849387759,0.1348673534
2.26452,4.71670836745e-05,0.000186166893117,0.00670741876861,0.0392511057163,2.46932529137e-05,1.65627988049e-07,0.000277381861287,,,,0.003196939295,3.1745894e-05,0.003165193401,0.00631159073,0.00012679448,0.00618479625,0.04337702435,0.0052179188,0.03815910555,0.2707436437,0.111076683,0.1596669607
2.41387,6.18344027366e-05,0.000243385893668,0.00847481369923,0.0349686290768,1.38866475489e-05,1.17686750884e-07,0.000318111386924,,,,0.003672731084,4.1681729e-05,0.003631049355,0.00726359362,0.000166292916,0.007097300704,0.05062630792,0.00674908527,0.04387722265,0.3159897293,0.1330159138,0.1829738155
2.51244,0.000101198264598,0.000396742130561,0.0131251367976,0.0267445307136,7.95972347865e-05,1.04472459528e-06,0.000404052740101,,,,0.004873427938,6.850494e-05,0.004804922998,0.009667617892,0.000272544368,0.009395073524,0.06886215844,0.01080825673,0.05805390171,0.4260774419,0.1880759322,0.2380015097
